04/01/2026,Aniversário de Rondônia,ESTADUAL,Aniversário de Rondônia,RO,
22/01/2026,Dia do Católico,ESTADUAL,"Feriado no calendário oficial do Governo do Estado do Acre, conforme lei Nº 3137/2016. O Dia do Católico foi criado em 2016, em similaridade ao dia do Evngélico",AC,
23/01/2026,Dia do Evangélico,ESTADUAL,Dia do Evangélico,AC,
17/02/2026,Carnaval,ESTADUAL,"Feriado estadual no Rio de Janeiro, conforme lei 5243/2008. Ponto Facultativo no restante do Brasil",RJ,
06/03/2026,Data Magna de Pernambuco,ESTADUAL,"Feriado estadual instituído pela Lei nº 16.059/2017 em celebração à Revolução Pernambucana de 1817. A data homenageia o movimento de caráter republicano e separatista que tornou Pernambuco uma república independente da Coroa Portuguesa por 74 dias. Este marco histórico é considerado a 'primeira república brasileira' e simboliza a luta por liberdade, democracia e autonomia política no Brasil.",PE,
08/03/2026,Dia Internacional da Mulher,ESTADUAL,"Feriado estadual no Acre, instituído pela Lei Estadual nº 1.411, de 4 de julho de 2001, em homenagem ao Dia Internacional da Mulher e suas conquistas históricas.",AC,
19/03/2026,Dia de São José,ESTADUAL,Dia de São José,AP,
25/03/2026,Data Magna do Ceará,ESTADUAL,Data Magna do Ceará,CE,
23/04/2026,Dia de São Jorge,ESTADUAL,"São Jorge foi, de acordo com a tradição, um padre e soldado romano no exército do imperador Diocleciano, venerado como mártir cristão.",RJ,
28/04/2026,Aniversário do Estado,ESTADUAL,Aniversário do Estado,ES,
15/05/2026,Dia de Cabralzinho,ESTADUAL,Dia de Cabralzinho,AP,
15/06/2026,Aniversário do Acre,ESTADUAL,Aniversário do Acre,AC,
18/06/2026,Dia do Evangélico,ESTADUAL,Dia 18 de Junho comemora-se o dia o evangélico no estado de Rondônia.,RO,
24/06/2026,Dia de São João,ESTADUAL,"O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.",AL,
24/06/2026,Dia de São João,ESTADUAL,Dia de São João,PE,
29/06/2026,Dia de São Pedro,ESTADUAL,Dia de São Pedro,AL,
02/07/2026,Independência da Bahia,ESTADUAL,Independência da Bahia,BA,
08/07/2026,Aniversário de Sergipe,ESTADUAL,Aniversário de Sergipe,SE,
09/07/2026,Revolução Constitucionalista,ESTADUAL,Revolução Constitucionalista,SP,
25/07/2026,Dia de São Tiago,ESTADUAL,De acordo com a Lei nº 1.696 de 09 de julho de 2012,AP,
26/07/2026,Homenagem a João Pessoa,ESTADUAL,Homenagem ao ex-presidente João Pessoa que foi assassinado em 26 de Julho de 1930.,PB,
28/07/2026,Adesão ao Império Brasileiro,ESTADUAL,Adesão ao Império Brasileiro,MA,
05/08/2026,Fundação do Estado da Paraíba,ESTADUAL,Fundação do Estado da Paraíba,PB,
06/08/2026,Revolução Acreana,ESTADUAL,Revolução Acreana,AC,
11/08/2026,Dia de Santa Catarina,ESTADUAL,"A Capitania de Santa Catarina foi criada em 11 de agosto de 1738. Em 28 de fevereiro de 1821 torna-se uma província, que viria a ser o atual estado de Santa Catarina com a Proclamação da República.",SC,
15/08/2026,Adesão ao Império Brasileiro,ESTADUAL,Adesão ao Império Brasileiro,PA,
05/09/2026,Aniversário do Amazonas,ESTADUAL,Aniversário do Amazonas,AM,
05/09/2026,Dia da Amazônia,ESTADUAL,Dia da Amazônia,AC,
08/09/2026,Padroeira de Tocantins,ESTADUAL,Padroeira de Tocantins,TO,
13/09/2026,Aniversário da criação do ex-território federal do Amapá,ESTADUAL,Aniversário da criação do ex-território federal do Amapá,AP,
16/09/2026,Emancipação de Alagoas,ESTADUAL,Emancipação de Alagoas,AL,
20/09/2026,Proc. República Rio Grandense,ESTADUAL,Proc. República Rio Grandense,RS,
03/10/2026,Mártires de Cunhaú e Uruaçu,ESTADUAL,Mártires de Cunhaú e Uruaçu,RN,
05/10/2026,Aniversário de Roraima,ESTADUAL,Aniversário de Roraima,RR,
05/10/2026,Aniversário de Tocantins,ESTADUAL,Aniversário de Tocantins,TO,
11/10/2026,Aniversário do Mato Grosso do Sul,ESTADUAL,Aniversário do Mato Grosso do Sul,MS,
19/10/2026,Dia do Piauí,ESTADUAL,Dia do Piauí,PI,
30/11/2026,Dia do Evangélico,ESTADUAL,"Dia do evangélico, conforme decreto nº 56.880, de 19 de Dezembro de 2017.",AL,
30/11/2026,Dia do Evangélico,ESTADUAL,Dia 30 de Novembro comemora-se o dia o evangélico no estado do Amapá.,AP,
30/11/2026,Dia do Evangélico,ESTADUAL,Dia do Evangélico,DF,
08/12/2026,Dia de Nossa Senhora da Conceição,ESTADUAL,Dia de Nossa Senhora da Conceição,AM,
08/12/2026,N. Sra. Conceição,ESTADUAL,Dia de Nossa Senhora da Conceição,PA,
