19/03/2024,São José,MUNICIPAL,Dia de São José,CE,2311306
16/08/2024,Nossa Sra da Glória,MUNICIPAL,"Nossa Senhora da Glória. Feriado movido para Sexta-Feira, segundo decreto municipal",AC,1200203
28/09/2024,Aniversário da Cidade,MUNICIPAL,"Aniversário de Cruzeiro do Sul. Feriado movido para Sexta-Feira, segundo decreto municipal",AC,1200203
27/06/2024,Dia da Padroeira da Cidade,MUNICIPAL,"Homenagem a Nossa Senhora do Perpetuo Socorro, a Padroeira de Feijó, por meio da Lei Municipal de Nº 452 de 01 de junho de 2009",AC,1200302
25/01/2024,Dia do Evangélico,MUNICIPAL,"Lei Municipal nº 1.601/2006 (Dia 23/01 transferido para o dia 25/01, conforme Lei Estadual no 2.126/2009)",AC,1200401
28/12/2024,Aniversário do Município,MUNICIPAL,Aniversário do Município de Rio Branco - Lei Municipal nº 1.609/2006,AC,1200401
08/04/2024,Padre Paulino Baldassari,MUNICIPAL,Feriado em Homenagem a Morte de Padre Paulino Baldassari,AC,1200500
24/04/2024,Aniversário da Cidade,MUNICIPAL,"Aniversário da Cidade de Tarauacá, segundo lei nº 152/79",AC,1200609
04/10/2024,Dia de S. Francisco Assis,MUNICIPAL,"Comemoração ao dia de São Francisco de Assis, conforme decreto no 161/1979",AC,1200609
19/03/2024,São José,MUNICIPAL,Dia de São José,AL,2701605
16/05/2024,Emancipação Política,MUNICIPAL,Emancipação Política,AL,2703205
22/08/2024,Aniversário do Município,MUNICIPAL,Aniversário da Emancipação Política do Município,AL,2703304
07/10/2024,N. Sra. do Rosário,MUNICIPAL,"Dia de Nossa Senhora do Rosário, padroeira do Município",AL,2703304
27/08/2024,"Dia da Padroeira de Maceió, Nossa Senhora dos Prazeres, segundo a Lei nº 1391, de 16 de maio de 1967",MUNICIPAL, http://leismunicipa.is/angmr,AL,2704302
08/12/2024,"Dia de Nossa Senhora da Conceição, segundo a Lei nº 1391, de 16 de maio de 1967",MUNICIPAL, http://leismunicipa.is/angmr,AL,2704302
19/03/2024,São José,MUNICIPAL,"Dia de São José, padroeiro da Cidade",AL,2704708
29/03/2024,Sexta-Feira Santa,MUNICIPAL,Sexta-Feira Santa,AL,2704708
05/08/2024,Dia de Marechal Deodoro,MUNICIPAL,Dia do Nascimento de Marechal Deodoro,AL,2704708
08/12/2024,Imaculada Conceição,MUNICIPAL,Dia da Imaculada Conceição,AL,2704708
19/03/2024,São José,MUNICIPAL,Dia de São José,AL,2705606
19/03/2024,São José,MUNICIPAL,Dia de São José,AL,2708303
19/03/2024,São José,MUNICIPAL,Dia de São José,AL,2708402
13/10/2024,Aniversário da Cidade,MUNICIPAL,Comemorações da Emancipação Política da Cidade de Viçosa-AL,AL,2709400
25/04/2024,Aniversário da Cidade,MUNICIPAL,Aniversário de Itacoatiara,AM,1301902
24/10/2024,Aniversário de Manaus (Elevação de Manaus à categoria de Cidade),MUNICIPAL,conforme a Lei Orgânica do Município,AM,1302603
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2900405
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2901908
08/12/2024,Nossa Sra da Conceição,MUNICIPAL,"Nossa Senhora da Conceição, padroeira do Municipio",BA,2902609
14/12/2024,Dia do Evangélico,MUNICIPAL,"Dia do Evangélico, segundo decreto de 2013",BA,2902609
20/01/2024,São Sebastião,MUNICIPAL,"Dia do padroeiro da cidade, São Sebastião.",BA,2904605
11/06/2024,Aniversário da Cidade,MUNICIPAL,Aniversário da Cidade,BA,2904605
24/06/2024,São João,MUNICIPAL,Dia de São João,BA,2904605
06/08/2024,Louvor ao Bom Jesus,MUNICIPAL,Louvor ao Bom Jesus,BA,2904605
05/04/2024,Emancipação do Município,MUNICIPAL,Emancipação Política do Município de Caetité,BA,2905206
12/07/2024,Anísio Teixeira,MUNICIPAL, Nascimento do Educador Anísio Teixeira,BA,2905206
26/07/2024,Senhora Santana,MUNICIPAL,"Senhora Santana, Padroeira da Cidade",BA,2905206
17/09/2024,Dia do Evangélico,MUNICIPAL,Dia do Evangélico,BA,2905206
07/01/2024,São Tomaz de Cantuária,MUNICIPAL,"Dia do Padroeiro do Município, São Tomaz de Cantuária",BA,2905701
29/03/2024,Sexta-Feira Santa,MUNICIPAL,"Sexta-Feira Santa, paixão de cristo",BA,2905701
24/06/2024,Dia de São João,MUNICIPAL,Comemorações dos festejos juninos,BA,2905701
28/09/2024,Aniversário da Cidade,MUNICIPAL,Feriado em comemoração do Aniversário da Cidade de Camaçari,BA,2905701
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2906857
19/03/2024,São José,MUNICIPAL,Dia do Padroeiro da Cidade,BA,2907103
20/05/2024,Divino Esp. Santo,MUNICIPAL,Festa do Divino Espírito Santo,BA,2907103
17/08/2024,Aniversário da Cidade,MUNICIPAL,Aniversário da Cidade,BA,2907103
29/03/2024,Sexta-feira Santa,MUNICIPAL,conforme Lei 851 de 23/10/1978,BA,2910800
30/05/2024,Corpus Christi,MUNICIPAL,conforme Lei 851 de 23/10/1978,BA,2910800
18/09/2024,Aniversário da Cidade,MUNICIPAL,"Conformidade com a Lei Complementar nº 031, de 15.09.2006, 18 de setembro é comemorado o DIA DA CIDADE, data da emancipação político-administrativa do Município (18 de setembro de 1833)",BA,2910800
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2911204
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2912905
20/01/2024,Dia de São Sebastião,MUNICIPAL,"Dia de São Sebastião, padroeiro da Cidade",BA,2913200
14/02/2024,Quarta-Feira de Cinzas,MUNICIPAL,Quarta-Feira de Cinzas,BA,2913200
14/08/2024,Aniversário da Cidade,MUNICIPAL,Aniversário de Emancipação do Município de Ibotirama,BA,2913200
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2916401
20/08/2024,Dia do Evangélico,MUNICIPAL,"Dia do Evangélico, conforme a Lei Nº 2.053, de 06 de Junho de 2018",BA,2918001
25/10/2024,Aniversário da Cidade,MUNICIPAL,Aniversário da Cidade de Jequié,BA,2918001
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2918506
15/01/2024,St° Amaro de Ipitanga,MUNICIPAL,Padroeiro da cidade,BA,2919207
29/03/2024,Paixão de Cristo,MUNICIPAL,Paixão de Cristo,BA,2919207
24/06/2024,São João,MUNICIPAL,Dia de São João,BA,2919207
20/11/2024,Consciência Negra,MUNICIPAL,Dia Municipal da Consciência Negra,BA,2919207
28/01/2024,S. Gonçalo Canabrava,MUNICIPAL,Homenagem aos festejos de São Gonçalo de Canabrava,BA,2919504
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2921807
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2922003
28/07/2024,Emancipação,MUNICIPAL,Emancipação de Paulo Afonso,BA,2924009
04/10/2024,São Francisco,MUNICIPAL,"Dia de São Francisco de Assis, padroeiro da cidade",BA,2924009
29/03/2024,Sexta-feira Santa,MUNICIPAL,conforme Lei Municipal nº 1997 de 21 de junho de 1967,BA,2927408
30/05/2024,Corpus Christi,MUNICIPAL,conforme Lei Municipal nº 1997 de 21 de junho de 1967,BA,2927408
24/06/2024,Dia de São João,MUNICIPAL,conforme Lei Municipal nº 1997 de 21 de junho de 1967,BA,2927408
08/12/2024,Dia de Nossa Senhora da Conceição,MUNICIPAL,conforme Lei Municipal nº 1997 de 21 de junho de 1967,BA,2927408
04/12/2024,Santa Bárbara,MUNICIPAL,"Dia de Santa Bárbara, padroeira da cidade",BA,2927507
28/01/2024,São Gonçalo,MUNICIPAL,"São Gonçalo, padroeiro do município, de acordo com a Lei nº 415 de 14 de março de 1975.",BA,2929206
29/03/2024,Sexta-feira Santa,MUNICIPAL,Sexta-feira Santa,BA,2929206
30/05/2024,Corpus Christi,MUNICIPAL,Corpus Christi,BA,2929206
29/06/2024,Cidadania Franciscana,MUNICIPAL,"Data maior, consagrada à memória dos Franciscanos que participaram das lutas pela independência, de acordo com a Lei nº 415 de 14 de março de 1975.",BA,2929206
04/10/2024,São Francisco de Assis,MUNICIPAL,"São Francisco de Assis, padroeiro da cidade, de acordo com a Lei nº 415 de 14 de março de 1975.",BA,2929206
10/01/2024,Dia de São Gonçalo,MUNICIPAL,"Dia de São Gonçalo, padroeiro da cidade",BA,2929305
19/03/2024,Dia de São José,MUNICIPAL,"Dia de São José, padroeiro do município",BA,2930204
24/06/2024,Dia de São João,MUNICIPAL,Dia de São João,BA,2930204
06/07/2024,Aniversário da Cidade,MUNICIPAL,Emancipação politica do município,BA,2930204
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 735/2007 de 20/12/2007,BA,2930501
27/07/2024,Aniversário do município,MUNICIPAL,Aniversário de Emancipação Política do Município,BA,2931301
18/09/2024,Dia do Evangélico,MUNICIPAL,"Dia do Evangélico, de acordo com o Artigo 1º da Lei nº 014/2009",BA,2931301
28/10/2024,Dia do Servidor Público,MUNICIPAL,"Dia do Servidor Público, de acordo com o Artigo 213 da Lei nº 03/1995",BA,2931301
08/12/2024,N. Sra. da Conceição,MUNICIPAL,Nossa Senhora da Conceição – Padroeira do Município,BA,2931301
09/05/2024,Aniversário da Cidade,MUNICIPAL,Aniversário da Cidade de Teixeira de Freitas,BA,2931350
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2932507
19/03/2024,São José,MUNICIPAL,Dia de São José,BA,2933059
24/06/2024,Dia São João,MUNICIPAL,Dia São João,CE,2300309
04/10/2024,S. Francisco de Assis,MUNICIPAL,Dia de São Francisco de Assis,CE,2300309
19/03/2024,São José,MUNICIPAL,Dia de São José,CE,2301000
19/03/2024,São José,MUNICIPAL,Dia de São José,CE,2301109
