23/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Gentio do Ouro 
09/07/2023,"Feriado Municipal",MUNICIPAL,"",BA,Gentio do Ouro 
14/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Gentio do Ouro 
14/03/2023,"Feriado Municipal",MUNICIPAL,"",BA,Governador Mangabeira 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Governador Mangabeira 
27/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Governador Mangabeira 
08/12/2023,"Feriado Municipal",MUNICIPAL,"",BA,Governador Mangabeira 
13/06/2023,"Dia de Santo Antônio",MUNICIPAL,"",BA,Guanambi 
14/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Guanambi 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Guaratinga 
31/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Guaratinga 
08/12/2023,"Feriado Municipal",MUNICIPAL,"",BA,Guaratinga 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Iaçu 
14/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Iaçu 
13/12/2023,"Feriado Municipal",MUNICIPAL,"",BA,Iaçu 
20/01/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibiassucê 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibiassucê 
18/07/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibiassucê 
02/02/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibicaraí 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibicoara 
11/07/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibicoara 
20/07/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibicoara 
25/07/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibicoara 
12/12/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibicuí 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibipitanga 
13/12/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibipitanga 
16/07/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibirapitanga 
03/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibirapitanga 
15/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibirapitanga 
06/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibirapuã 
19/03/2023,"São José",MUNICIPAL,"Dia de São José",BA,Ibirataia 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibirataia 
10/11/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibirataia 
02/03/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibitiara 
08/09/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibitiara 
31/01/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ibititá 
20/01/2023,"Dia de São Sebastião",MUNICIPAL,"Dia de São Sebastião, padroeiro da Cidade",BA,Ibotirama 
22/02/2023,"Quarta-Feira de Cinzas",MUNICIPAL,"Quarta-Feira de Cinzas",BA,Ibotirama 
14/08/2023,"Aniversário da Cidade",MUNICIPAL,"Aniversário de Emancipação do Município de Ibotirama",BA,Ibotirama 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ichu 
01/09/2023,"Feriado Municipal",MUNICIPAL,"",BA,Igaporã 
08/09/2023,"Feriado Municipal",MUNICIPAL,"",BA,Igaporã 
11/11/2023,"Feriado Municipal",MUNICIPAL,"",BA,Igaporã 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Iguaí 
12/12/2023,"Feriado Municipal",MUNICIPAL,"",BA,Iguaí 
23/04/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ilhéus 
28/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ilhéus 
15/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ilhéus 
08/03/2023,"Feriado Municipal",MUNICIPAL,"",BA,Inhambupe 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Inhambupe 
06/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Inhambupe 
08/12/2023,"Feriado Municipal",MUNICIPAL,"",BA,Inhambupe 
11/02/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipecaetá 
13/06/2023,"Dia de Santo Antônio",MUNICIPAL,"",BA,Ipecaetá 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipecaetá 
19/07/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipecaetá 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipiaú 
16/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipiaú 
02/12/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipiaú 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipirá 
26/07/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipirá 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipupiara 
09/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipupiara 
17/09/2023,"Feriado Municipal",MUNICIPAL,"",BA,Ipupiara 
28/01/2023,"Feriado Municipal",MUNICIPAL,"",BA,Iramaia 
13/06/2023,"Dia de Santo Antônio",MUNICIPAL,"",BA,Iramaia 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Iramaia 
05/07/2023,"Feriado Municipal",MUNICIPAL,"",BA,Iraquara 
08/09/2023,"Feriado Municipal",MUNICIPAL,"",BA,Iraquara 
02/02/2023,"Feriado Municipal",MUNICIPAL,"",BA,Irará 
27/05/2023,"Feriado Municipal",MUNICIPAL,"",BA,Irará 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Irará 
31/05/2023,"Feriado Municipal",MUNICIPAL,"",BA,Irecê 
04/08/2023,"Feriado Municipal",MUNICIPAL,"",BA,Irecê 
14/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Itabela 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Itabela 
26/03/2023,"Feriado Municipal",MUNICIPAL,"",BA,Itaberaba 
18/05/2023,"Feriado Municipal",MUNICIPAL,"",BA,Itaberaba 
24/06/2023,"Feriado Municipal",MUNICIPAL,"",BA,Itaberaba 
