15/08/2020,Nossa Sra da Glória,MUNICIPAL,"Nossa Senhora da Glória. Feriado movido para Sexta-Feira, segundo decreto municipal",AC,Cruzeiro do Sul
02/10/2020,Aniversário da Cidade,MUNICIPAL,"Aniversário de Cruzeiro do Sul. Feriado movido para Sexta-Feira, segundo decreto municipal",AC,Cruzeiro do Sul
27/06/2020,Dia da Padroeira da Cidade,MUNICIPAL,"Homenagem a Nossa Senhora do Perpetuo Socorro, a Padroeira de Feijó, por meio da Lei Municipal de Nº 452 de 01 de junho de 2009",AC,Feijó
25/01/2020,Dia do Evangélico,MUNICIPAL,"Lei Municipal nº 1.601/2006 (Dia 23/01 transferido para o dia 25/01, conforme Lei Estadual no 2.126/2009)",AC,Rio Branco
28/12/2020,Aniversário do Município,MUNICIPAL,Aniversário do Município de Rio Branco - Lei Municipal nº 1.609/2006,AC,Rio Branco
08/04/2020,Padre Paulino Baldassari,MUNICIPAL,Feriado em Homenagem a Morte de Padre Paulino Baldassari,AC,Sena Madureira
24/04/2020,Aniversário da Cidade,MUNICIPAL,"Aniversário da Cidade de Tarauacá, segundo lei nº 152/79",AC,Tarauacá
04/10/2020,Dia de S. Francisco Assis,MUNICIPAL,"Comemoração ao dia de São Francisco de Assis, conforme decreto no 161/1979",AC,Tarauacá
19/03/2020,São José,MUNICIPAL,Dia de São José,AL,Canapi
16/05/2020,Emancipação Política,MUNICIPAL,Emancipação Política,AL,Igreja Nova
22/08/2020,Aniversário do Município,MUNICIPAL,Aniversário da Emancipação Política do Município,AL,Inhapi
07/10/2020,N. Sra. do Rosário,MUNICIPAL,"Dia de Nossa Senhora do Rosário, padroeira do Município",AL,Inhapi
27/08/2020,"Dia da Padroeira de Maceió, Nossa Senhora dos Prazeres, segundo a Lei nº 1391, de 16 de maio de 1967",MUNICIPAL, http://leismunicipa.is/angmr,AL,Maceió
08/12/2020,"Dia de Nossa Senhora da Conceição, segundo a Lei nº 1391, de 16 de maio de 1967",MUNICIPAL, http://leismunicipa.is/angmr,AL,Maceió
19/03/2020,São José,MUNICIPAL,"Dia de São José, padroeiro da Cidade",AL,Marechal Deodoro
10/04/2020,Sexta-Feira Santa,MUNICIPAL,Sexta-Feira Santa,AL,Marechal Deodoro
05/08/2020,Dia de Marechal Deodoro,MUNICIPAL,Dia do Nascimento de Marechal Deodoro,AL,Marechal Deodoro
08/12/2020,Imaculada Conceição,MUNICIPAL,Dia da Imaculada Conceição,AL,Marechal Deodoro
19/03/2020,São José,MUNICIPAL,Dia de São José,AL,Novo Lino
19/03/2020,São José,MUNICIPAL,Dia de São José,AL,São José da Laje
