27/02/2017,Carnaval,FACULTATIVO,"Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.",,
28/02/2017,Carnaval,FACULTATIVO,"Carnaval NÃO é um feriado oficial, é Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.",,
01/03/2017,Carnaval,FACULTATIVO,Ponto Facultativo até às 14h.,,
15/06/2017,Corpus Christi,FACULTATIVO,"Ponto Facultativo no País, mas Feriado Municipal em algumas cidades.. Corpus Christi, expressão latina que significa Corpo de Cristo, é uma festa Cristã realizada na quinta-feira seguinte ao domingo da Santíssima Trindade.",,
15/10/2017,Dia do Professor,FACULTATIVO,"FERIADO ESCOLAR - No dia 15 de outubro de 1827 (dia consagrado à educadora Santa Teresa de Ávila), o Imperador do Brasil, Pedro I, baixou um Decreto Imperial que criou o Ensino Elementar no Brasil. Pelo decreto, ""todas as cidades, vilas e lugarejos teriam suas escolas de primeiras letras""",,
28/10/2017,Dia do Servidor Público,FACULTATIVO,O dia do servidor público é feriado apenas para funcionários públicos.,,
08/12/2017,Ponto Facultativo,FACULTATIVO,Nossa Senhora da Conceição,,
31/10/2017,Dia do Evangélico,FACULTATIVO,Dia do Evangélico,,
13/10/2017,Ponto Facultativo,FACULTATIVO,"Ponto Facultativo devido ao Feriado de 12 de Outubro, dia da Padroeira do Brasil",,
20/11/2017,Dia da Consciência Negra,FACULTATIVO,"Lei Municipal No 1985, de 2009. Prefeitura não funcionará. O Comércio deverá Funcionar normalmente",,
29/09/2017,Ponto Facultativo,FACULTATIVO,Ponto Facultativo devido ao aniversário da cidade,,
03/11/2017,Ponto Facultativo,FACULTATIVO,Feriado para funcionários públicos do município,,
19/03/2017,Dia de São José,FACULTATIVO,Padroeiro do Estado do Ceará,,
08/09/2017,Ponto Facultativo,FACULTATIVO,Ponto Facultativo após feriado de 07 de Setembro,,
03/11/2017,Dia do Func. Público,FACULTATIVO,Feriado para Funcionários Públicos (Dia do Funcionário Público) transferido para 03 de Novembro,,
27/09/2017,Ponto Facultativo,FACULTATIVO,Ponto Facultativo conforme decreto 027/2017,,
26/07/2017,Fundação da Cidade de Goiás,FACULTATIVO,"Feriado para Servidores Públicos. Determinado pelo Estatuto dos Funcionários Públicos Civis do Estado de Goiás e de suas Autarquias, Lei nº 10.460, de 22 de fevereiro de 1988",,
24/10/2017,Pedra fundamental de Goiânia,FACULTATIVO,"Feriado para Servidores Públicos. Determinado pelo Estatuto dos Funcionários Públicos Civis do Estado de Goiás e de suas Autarquias, Lei nº 10.460, de 22 de fevereiro de 1988",,
28/02/2017,Terça de Carnaval,FACULTATIVO,"Feriado apenas no Comércio, segundo Lei nº 5913, de 21 de junho de 1991",,
01/11/2017,Ponto Facultativo,FACULTATIVO,Feriado para Funcionários Públicos ESTADUAIS transferido para este dia,,
14/08/2017,Ponto Facultativo,FACULTATIVO,A Prefeitura de Patos de Minas não funcionará em cumprimento ao Decreto n° 4.263 de 17 de janeiro de 2017.,,
16/06/2017,Dia de Santo Antônio,FACULTATIVO,"A comemoração do dia de Santo Antônio foi transferida para essa data, veja o decreto abaixo",,
28/02/2017,Facultativo,FACULTATIVO,"aniversário de morte de José Pedro Dias, fundador de Juara",,
28/10/2017,Servidor público,FACULTATIVO,"Ponto facultativo, Dia do Servidor Público",,
08/12/2017,Dia da Imaculada Conceição,FACULTATIVO,"Dia da Imaculada Conceição, padroeira da cidade",,
27/10/2017,Feriado Antecipado,FACULTATIVO,Antecipação do Feriado do Dia do Servidor Público,,
08/12/2017,N. Sra. da Conceição,FACULTATIVO,Nossa Senhora da Conceição,,
28/10/2017,Ponto Facultativo Municipal,FACULTATIVO,Dia do Servidor Público - art. 249 da Lei Municipal nº 2.215/1991,,
29/03/2017,Aniversário da Ciadade,FACULTATIVO,"Fundação de Curitiba - Aniversário da Cidade (Ponto Facultativo), conforme Lei Municipal nº229,26/12/49",,
16/06/2017,Ponto Facultativo,FACULTATIVO,Ponto Facultativo segundo decreto 109/2017,,
24/02/2017,Pré Carnaval,FACULTATIVO,Não haverá expediente apenas nas repartições estaduais da capital. ,,
27/02/2017,Segunda de Carnaval,FACULTATIVO,Ponto Facultativo nas repartições públicas,,
01/03/2017,Quarta Feira de Cinzas,FACULTATIVO,Ponto Facultativo nas repartições públicas,,
08/09/2017,Extensão do 7 Setembro,FACULTATIVO,"Ponto Facultativo, especialmente para orgãos municipais",,
31/12/2017,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO,De acordo com o Decreto nº 18882-E de 01 de junho de 2015,,
19/03/2017,São José,FACULTATIVO,Dia de São José padroeiro de Mafra,,
20/11/2017,Feriado Para Func. Municipais,FACULTATIVO,Feriado apenas para Funcionários Municipais,,
13/04/2017,Quinta-feira santa,FACULTATIVO,"Quinta-feira santa, ponto facultativo",,
30/06/2017,Emancipação,FACULTATIVO,Emancipação político-administrativa do município,,
20/11/2017,Consciência Negra,FACULTATIVO,Dia da Consciência Negra. Ponto Facultativo de acordo com a Lei Municipal 2484/2008,,
29/06/2017,São Pedro,FACULTATIVO,,,
